Age_Range,Gender,Preferred_Language,Listening_Period,Participant,Listening_Frequency,Music_Genre,Post_Music_Emotion,Music Training
<29,female,english,notSpecific,1,daily,all,calm,no
<29,male,hindi,notSpecific,2,daily,indie,calm,no
<29,male,english,notSpecific,3,daily,all,calm,no
<29,female,english,notSpecific,4,3days,pop,energetic,yes
<29,female,hindi,notSpecific,5,3-6days,classical,calm,yes
<29,male,chinese,notSpecific,6,daily,all,calm,no
<29,male,english,notSpecific,7,3days,indie,calm,no
<29,female,english,free,8,3-6days,indie,calm,yes
30-44,male,chinese,notSpecific,9,daily,all,happy,no
<29,female,hindi,notSpecific,10,daily,Bollywood,happy,no
<29,male,chinese,notSpecific,11,daily,all,happy,yes
<29,female,hindi,notSpecific,12,3-6days,all,calm,no
<29,male,chinese,work,13,daily,pop,calm,no
<29,female,english,free,14,daily,hiphop,energetic,no
<29,female,english,notSpecific,15,3-6days,all,sad,no
<29,male,chinese,notSpecific,16,daily,acoustic,calm,no
<29,female,english,free,17,3-6days,acoustic,calm,no
<29,male,hindi,free,18,3days,all,calm,no
<29,male,english,notSpecific,19,3-6days,pop,energetic,no
<29,preferNotToSay,english,notSpecific,20,3days,all,happy,no
30-44,female,english,notSpecific,21,3-6days,all,calm,yes
<29,male,hindi,free,22,3-6days,classical,calm,yes
<29,female,hindi,notSpecific,23,3-6days,all,calm,no
<29,female,hindi,notSpecific,24,3days,indie,calm,no
<29,female,hindi,notSpecific,25,daily,pop,happy,yes
<29,female,hindi,notSpecific,26,3-6days,all,calm,no
30-44,male,hindi,notSpecific,27,daily,all,happy,no
<29,male,hindi,notSpecific,28,3days,all,calm,no
<29,male,english,free,29,daily,all,happy,no
<29,female,hindi,notSpecific,30,daily,all,calm,no
<29,female,hindi,free,31,daily,acoustic,happy,no
45-59,male,chinese,notSpecific,32,daily,pop,calm,no
45-59,male,english,free,33,3days,pop,happy,no
30-44,female,english,notSpecific,34,daily,indie,calm,yes
<29,female,english,work,35,daily,hiphop,calm,no
<29,male,chinese,notSpecific,36,3days,all,happy,no
<29,female,english,notSpecific,37,3days,all,happy,no
<29,male,hindi,work,38,daily,Qawwali ,calm,no
<29,male,chinese,notSpecific,39,daily,all,calm,no
<29,female,hindi,notSpecific,40,daily,all,energetic,no
<29,male,english,free,41,3days,all,happy,yes
<29,female,hindi,free,42,daily,indie,happy,no
<29,female,english,notSpecific,43,3-6days,indie,calm,no
<29,male,hindi,notSpecific,44,3-6days,classical,happy,no
30-44,female,chinese,free,45,3days,pop,calm,no
<29,female,english,notSpecific,46,daily,all,calm,no
<29,male,hindi,notSpecific,47,daily,all,happy,yes
45-59,male,hindi,free,48,3days,Light indian/Hindi  music,happy,no
<29,male,english,notSpecific,49,daily,all,calm,no
<29,female,english,notSpecific,50,daily,all,happy,no
<29,male,hindi,work,51,3days,all,calm,yes
<29,female,english,notSpecific,52,3-6days,all,calm,no
<29,male,chinese,notSpecific,53,3-6days,all,calm,no
<29,male,hindi,notSpecific,54,daily,all,happy,no
<29,female,chinese,notSpecific,55,3-6days,mando pop,happy,no
<29,male,english,free,56,daily,pop,happy,no
<29,female,hindi,notSpecific,57,3-6days,all,calm,yes
<29,female,hindi,notSpecific,58,daily,acoustic,energetic,no
30-44,male,hindi,free,59,daily,all,happy,no
30-44,male,english,free,60,3-6days,acoustic,calm,no
<29,female,english,notSpecific,61,daily,all,energetic,no
<29,male,hindi,notSpecific,62,daily,all,happy,no
<29,male,hindi,free,63,3days,classical,calm,no
<29,male,chinese,notSpecific,64,daily,all,calm,no
<29,female,english,notSpecific,65,3days,all,calm,no
30-44,male,hindi,notSpecific,66,daily,classical,calm,no
<29,male,hindi,free,67,daily,all,calm,no
<29,female,english,notSpecific,68,3-6days,all,energetic,yes
<29,female,english,notSpecific,69,3days,all,happy,no
<29,male,hindi,work,70,3-6days,pop,energetic,no
<29,male,english,notSpecific,71,daily,pop,energetic,no
<29,male,english,notSpecific,72,daily,all,calm,no
<29,male,hindi,work,73,3-6days,all,happy,no
<29,female,chinese,notSpecific,74,daily,all,calm,no
<29,male,hindi,notSpecific,75,daily,Classic Rock ,energetic,no
30-44,female,english,notSpecific,76,daily,pop,energetic,no
<29,female,hindi,free,77,3-6days,all,energetic,yes
30-44,female,hindi,notSpecific,78,3days,all,happy,no
<29,female,english,notSpecific,79,daily,Pop and R&B,energetic,no
<29,female,english,free,80,3-6days,all,calm,no
<29,male,hindi,notSpecific,81,daily,all,happy,no
<29,female,english,free,82,daily,all,happy,no
<29,male,english,free,83,3-6days,indie,calm,no
<29,female,english,notSpecific,84,daily,all,calm,no
<29,male,english,notSpecific,85,3days,pop,energetic,no
>60,female,chinese,free,86,daily,classical,happy,no
<29,male,english,notSpecific,87,daily,all,calm,no
30-44,female,english,notSpecific,88,3-6days,indie,energetic,no
<29,female,english,notSpecific,89,daily,all,calm,no
<29,male,chinese,free,90,daily,pop,calm,no
<29,female,hindi,notSpecific,91,daily,indie,calm,no
<29,male,english,free,92,3-6days,all,energetic,no
30-44,female,chinese,notSpecific,93,daily,all,energetic,no
<29,male,english,free,94,3-6days,pop,energetic,no
<29,female,english,notSpecific,95,3days,all,happy,yes
<29,female,english,free,96,3days,hiphop,energetic,no
<29,female,english,notSpecific,97,daily,Minimal Techno,calm,no
<29,female,chinese,notSpecific,98,daily,all,sad,no
45-59,male,chinese,free,99,daily,classical,calm,no
<29,male,english,free,100,daily,indie,calm,no
<29,male,hindi,notSpecific,101,3-6days,indie,calm,no
<29,male,english,notSpecific,102,daily,"Rock, Metal",happy,no
<29,male,english,notSpecific,103,3-6days,pop,energetic,yes
30-44,male,hindi,free,104,3days,all,calm,no
<29,female,english,notSpecific,105,daily,hiphop,calm,no
<29,male,english,notSpecific,106,daily,all,energetic,no
<29,female,english,notSpecific,107,daily,all,calm,no
<29,female,hindi,free,108,daily,all,calm,yes
<29,female,hindi,free,109,3days,all,calm,no
