,SET,Code,Unnamed: 0,id,artist,album,name,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,Score,sad_score,happy_score,angry_score,fear_score
0,A,UHIS8,96,73y649QhnXdcm6fRdvfraO,Ajay-Atul,Agneepath (Original Motion Picture Soundtrack),Abhi Mujh Mein Kahin,364786,0.334,0.755,0.387,3.94E-05,0.113,0.42,-9.483,0.0332,129.959,2,1,Sad,-1,0,-0.5,-1,0
1,B,UHIS11,153,1StFDfq4raRws97W8Wb3QS,Darshan Raval,Asal Mein - Single,Asal Mein,224240,0.656,0.721,0.551,1.26E-06,0.0947,0.33,-6.43,0.0299,114.108,8,4,Sad,,-0.666666667,-0.333333333,-1.666666667,-0.333333333
2,C,UHIS3,248,6gwnKOvdBKkTU4CQ7KpIAu,Shaarib Toshi,"Bandeya (feat. Arijit Singh) [From ""Dil Juunglee""]","Bandeya (feat. Arijit Singh) - From ""Dil Juunglee""",184666,0.465,0.619,0.551,6.03E-06,0.109,0.415,-6.58,0.0362,89.459,7,4,Sad,,0,0.333333333,0,0
3,D,UHIS20,412,5MnAi6ZF7cE8pAz7wYr9Ta,Vishal-Shekhar,Tiger Zinda Hai,Dil Diyan Gallan,260536,0.716,0.565,0.64,0.00139,0.127,0.485,-8.726,0.025,105.012,2,4,Sad,,0.5,-0.5,0,0
4,E,UHIS1,33,30yySOIXHZYx94sLAySy2j,A.R. Rahman,Dil Se (Original Motion Picture Soundtrack),Dil Se Re,405706,0.844,0.00882,0.442,0.000498,0.0879,0.436,-16.54,0.0691,105.986,9,4,Sad,,0.5,-0.5,0.5,1
5,F,UHIS6,277,0p83RJy9EZ0hlg82xcXH7f,Sachet Tandon,"Dilbara (From ""Pati Patni Aur Woh"")","Dilbara (From ""Pati Patni Aur Woh"")",247682,0.304,0.254,0.686,0,0.106,0.236,-4.869,0.0497,89.991,0,4,Sad,,2,-1,0,0
6,G,UHIS17,89,5doYtCoJ8KpfkFczP3F2ad,Pritam,Love Aaj Kal (Original Motion Picture Soundtrack),Dooriyan,337360,0.52,0.612,0.716,0,0.11,0.593,-6.582,0.051,122.977,7,4,Sad,,0.666666667,0.333333333,0,0.666666667
7,H,UHIS16,252,77H2kEmaw3uiLgPozzIsqv,Amit Trivedi,Gunjan Saxena: The Kargil Girl,Dori Tutt Gaiyaan,231211,0.397,0.925,0.427,0.0117,0.108,0.288,-9.144,0.0497,75.679,10,4,Sad,,-0.5,-0.5,0,0
8,I,UHIS4,157,0MeoxIZvXjyEgeGTMyZc9T,Arijit Singh,Arijit Singh Broken Strings,"Duaa (From ""Shanghai"")",260138,0.554,0.536,0.578,5.53E-05,0.11,0.55,-7.718,0.0379,137.921,5,4,Sad,,-0.5,0.5,-1,-0.5
9,J,UHIS18,173,7aE1lfskJLMHQnzCCP1zsV,Akhil Sachdeva,Best Of Akhil Sachdeva,"Humsafar (From ""Badrinath Ki Dulhania"")",268463,0.319,0.719,0.552,0,0.144,0.221,-6.401,0.0307,93.991,7,4,Sad,,-1.5,1.5,0,0
