id,name,album,artist,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
0IeaJUUR4qKMXNSngFe8KT,10000 Hours,10000 Hours,Thomas Vee,168960,0.66,0.0428,0.611,0,0.0942,0.336,-5.863,0.0354,89.895,3,4,Calm
4mGdjNMo0RonTlOEb7cYg4,11 Minutes (with Halsey feat. Travis Barker),11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD,239507,0.464,0.0116,0.852,0,0.108,0.233,-3.804,0.067,160.075,11,4,Energetic
2169IKAivSUUFGcedGASXc,16 Shots,16 Shots,Stefflon Don,224727,0.684,0.0271,0.79,0.000371,0.0854,0.549,-4.871,0.0735,95.083,3,4,Energetic
0nyrltZrQGAJMBZc1bYvuQ,20 All-Time Greatest Hits!,Get Up Offa That Thing,James Brown,250200,0.883,0.225,0.664,2.30E-06,0.941,0.8,-10.395,0.411,118.104,4,4,Happy
62X7ld1sa8RHl4zRtSvfHf,432 Water Crystals,Just Look at You,369,187385,0.558,0.985,0.249,0.925,0.103,0.111,-14.715,0.0303,94.991,7,4,Calm
3JjeC1epY5y2Jysxn5FVCB,5 Day Mischon,Day 5: For Carol,Tom Misch,394862,0.485,0.765,0.497,0.886,0.132,0.065,-10.022,0.0308,100.857,2,4,Calm
6ocbgoVGwYJhOv1GgI9NsF,7 rings,"thank u, next",Ariana Grande,178626,0.778,0.592,0.317,0,0.0881,0.327,-10.732,0.334,140.048,1,4,Energetic
6HA97v4wEGQ5TUClRM0XLc,99 Luftballons,99 Luftballons,Nena,233000,0.466,0.089,0.438,5.62E-06,0.113,0.587,-12.858,0.0608,193.1,4,4,Happy
6QxTWEvzcJljVZaeTzuHF1,A Beautiful Lie + 30 Seconds To Mars,ATTACK,Thirty Seconds To Mars,189200,0.331,0.00344,0.876,0.000835,0.732,0.299,-1.894,0.0603,175.009,5,4,Energetic
0AG2l0IboWNSwjUkMr2Aq7,A Brief Inquiry Into Online Relationships,Be My Mistake,The 1975,256688,0.572,0.835,0.155,0.000137,0.0906,0.0949,-14.405,0.0344,109.923,6,3,Sad
67DOFCrkcQaLp5yhzF8Y8N,A Burden to Bear,A Burden to Bear,Emmanuelle Rimbaud,129410,0.394,0.995,0.0475,0.955,0.105,0.172,-26.432,0.072,71.241,6,5,Calm
0uESMJnrEKYnZoRbNTvmpB,A Collection,Crystal Baller - 2006 Remaster,Third Eye Blind,255760,0.379,0.0142,0.695,1.13E-05,0.196,0.432,-5.922,0.0705,193.672,0,4,Energetic
59P1nrdEImkAKa1nyW9X2e,A Deeper Understanding,Pain,The War On Drugs,330760,0.523,0.00387,0.833,0.000339,0.0841,0.482,-4.374,0.0405,115.975,7,4,Sad
1YMBg7rOjxzbya0fPOYfNX,A Different Way (with Lauv),A Different Way (with Lauv),DJ Snake,198285,0.784,0.495,0.757,1.18E-06,0.142,0.587,-3.912,0.0384,104.996,8,4,Energetic
79NmiFAgcXUIVDGfCWDdWF,A La Plage,A La Plage,Ron Adelaar,141888,0.504,0.994,0.0584,0.956,0.115,0.553,-20.461,0.0516,134.209,5,4,Calm
33iv3wnGMrrDugd7GBso1z,A Place In The Sun,My Own Worst Enemy,Lit,169026,0.494,0.00129,0.946,0,0.398,0.741,-2.757,0.0637,103.408,4,4,Energetic
71Znjl8mUrHfSg38OQU8bb,A Sentimental Education,Fire in Cairo,Luna,209052,0.587,0.379,0.713,0.439,0.332,0.816,-8.858,0.0268,130.05,1,4,Sad
2k9N4caeCIJLOWwWwssrEM,A Song For Every Moon,Easily,Bruno Major,210240,0.772,0.491,0.256,0.00612,0.144,0.357,-8.545,0.0481,118.902,7,3,Sad
0lYS1tJg3r6ATe9bRPB0Hu,A Year Without Rain,A Year Without Rain (International Standard Version),Selena Gomez & The Scene,234346,0.627,0.0125,0.81,3.09E-05,0.111,0.409,-5.296,0.0431,119.98,2,4,Energetic
6dGnYIeXmHdcikdzNNDMm2,Abbey Road (Remastered),Here Comes The Sun - Remastered 2009,The Beatles,185733,0.557,0.0339,0.54,0.00248,0.179,0.394,-10.484,0.0347,129.171,9,4,Happy
